ID_Vivienda,ID_Persona,Edad_Hijo,Sexo_Hijo,Años_Escolaridad_Hijo,Educacion_Hijo,Edad_Padre,Sexo_Padre,Años_Escolaridad_Padre,Educacion_Padre,Tipo_Movilidad,Ingreso_Hogar,Ingreso_PerCapita,Quintil_Ingreso,Nivel_Socioeconomico,Area,Situacion_Pobreza,Miembros_Hogar
1001701.0,2.0,28.0,Mujer,12.0,Media,56.0,Hombre,12.0,Media,Reproducción,2945500.0,589100.0,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1001701.0,3.0,27.0,Mujer,17.0,Superior,56.0,Hombre,12.0,Media,Movilidad Ascendente,2945500.0,589100.0,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1001701.0,4.0,19.0,Mujer,10.0,Media,56.0,Hombre,12.0,Media,Reproducción,2945500.0,589100.0,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1002102.0,5.0,18.0,Hombre,12.0,Media,39.0,Hombre,16.0,Superior,Movilidad Descendente,1636334.0,409083.5,Q3,NSE medio,Urbano,Pobre extremo,4
1002104.0,3.0,32.0,Mujer,15.0,Superior,67.0,Mujer,8.0,Media,Movilidad Ascendente,1411861.0,470620.3333333333,Q3,NSE medio,Urbano,Pobre extremo,3
1002105.0,3.0,19.0,Hombre,12.0,Media,45.0,Mujer,15.0,Superior,Movilidad Descendente,1862584.0,465646.0,Q4,NSE alto,Urbano,Pobre extremo,4
1002106.0,3.0,37.0,Mujer,17.0,Superior,68.0,Hombre,12.0,Media,Movilidad Ascendente,5705666.0,1141133.2,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1002106.0,4.0,33.0,Mujer,16.0,Superior,68.0,Hombre,12.0,Media,Movilidad Ascendente,5705666.0,1141133.2,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1002106.0,5.0,33.0,Hombre,14.0,Superior,68.0,Hombre,12.0,Media,Movilidad Ascendente,5705666.0,1141133.2,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,5
1002107.0,3.0,24.0,Hombre,15.0,Superior,65.0,Hombre,15.0,Superior,Reproducción,1652500.0,413125.0,Q3,NSE medio,Urbano,Pobre extremo,4
1002107.0,4.0,23.0,Mujer,15.0,Superior,65.0,Hombre,15.0,Superior,Reproducción,1652500.0,413125.0,Q3,NSE medio,Urbano,Pobre extremo,4
1002108.0,2.0,28.0,Mujer,12.0,Media,50.0,Mujer,15.0,Superior,Movilidad Descendente,735178.0,183794.5,Q1 (Más pobre),NSE bajo,Urbano,Pobre extremo,4
1002108.0,3.0,21.0,Hombre,14.0,Superior,50.0,Mujer,15.0,Superior,Reproducción,735178.0,183794.5,Q1 (Más pobre),NSE bajo,Urbano,Pobre extremo,4
1003302.0,3.0,34.0,Mujer,17.0,Superior,65.0,Hombre,15.0,Superior,Reproducción,2600000.0,866666.6666666666,Q4,NSE alto,Rural,Pobre extremo,3
1003305.0,3.0,32.0,Mujer,17.0,Superior,63.0,Hombre,12.0,Media,Movilidad Ascendente,3620000.0,724000.0,Q5 (Más rico),NSE alto,Rural,Pobre extremo,5
1003305.0,4.0,28.0,Mujer,17.0,Superior,63.0,Hombre,12.0,Media,Movilidad Ascendente,3620000.0,724000.0,Q5 (Más rico),NSE alto,Rural,Pobre extremo,5
1003305.0,5.0,34.0,Mujer,17.0,Superior,63.0,Hombre,12.0,Media,Movilidad Ascendente,3620000.0,724000.0,Q5 (Más rico),NSE alto,Rural,Pobre extremo,5
1003306.0,1.0,21.0,Mujer,13.0,Media,39.0,Hombre,14.0,Superior,Movilidad Descendente,810000.0,405000.0,Q1 (Más pobre),NSE bajo,Rural,Pobre extremo,2
1003309.0,3.0,19.0,Hombre,13.0,Superior,63.0,Hombre,17.0,Superior,Reproducción,6721666.0,1344333.2,Q5 (Más rico),NSE alto,Rural,Pobre extremo,5
1003403.0,2.0,21.0,Mujer,12.0,Media,44.0,Mujer,7.0,Básica o menos,Movilidad Ascendente,842000.0,421000.0,Q1 (Más pobre),NSE bajo,Urbano,Pobre extremo,2
1004905.0,8.0,19.0,Hombre,12.0,Media,60.0,Mujer,12.0,Media,Reproducción,5590787.0,465898.9166666667,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,12
1004905.0,9.0,33.0,Mujer,17.0,Superior,60.0,Mujer,12.0,Media,Movilidad Ascendente,5590787.0,465898.9166666667,Q5 (Más rico),NSE alto,Urbano,Pobre extremo,12
1005902.0,3.0,23.0,Mujer,13.0,Superior,42.0,Mujer,7.0,Básica o menos,Movilidad Ascendente,608785.0,152196.25,Q1 (Más pobre),NSE bajo,Rural,Pobre extremo,4
